county_code,population_adult,prison_entries_per_100,income_p_c,unemploy_per_100,poverty_per_100,pop_o_per,pop_b_per,crime_per_100,crime_idx,percent_reg_repub,percent_reg_repub_10,percent_poverty,pers_property_mill,drug_offenses,income_p_c_100,vio_offence_per_100,prop_offence_per_100,drug_offence_per_100,poverty_per_mill,unemploy_perc,hs_attainment_perc
37077,"46,263",348.010289,21733,5786.481638,14060.91261,6.767707083,34.1601627,4623.565268,2139,23.86827649,2.386827649,11.9,699.406,29,217.33,484.1882282,4139.37704,62.68508311,14.06091261,10.6,81.1
37079,"16,883",710.7741515,17362,5555.884618,20778.2977,11.82037484,37.28115345,4199.490612,709,15.80190822,1.580190822,18.4,215.259,25,173.62,343.5408399,3855.949772,148.0779482,20.7782977,10.2,76
37081,"373,685",362.3372627,26267,7189.477769,19635.5219,10.2935921,32.5342031,6257.67692,23384,29.00650824,2.900650824,15.9,7034.89,358,262.67,615.4916574,5642.185263,95.8026145,19.6355219,10.9,87.9
37083,"44,399",632.8971373,17223,7013.671479,28908.30875,6.815203145,53.22447935,5459.582423,2424,13.10527321,1.310527321,23.8,724.541,52,172.23,698.2139237,4761.368499,117.1197549,28.90830875,13.2,75.8
37085,"87,097",377.7397614,19274,6128.798925,19701.023,10.40199235,20.90461989,4483.506895,3905,33.60035532,3.360035532,16.5,1024.27,66,192.74,406.4433907,4077.063504,75.77758132,19.701023,11.2,84.4
37087,"48,803",249.9846321,24233,5485.318526,14451.98041,3.41007561,1.05698218,3610.433785,1762,28.54567878,2.854567878,12.3,824.088,22,242.33,323.7505891,3286.683196,45.07919595,14.45198041,9.7,86.1
37089,"86,470",261.3623222,26061,4787.787672,15009.83,7.970202081,3.020423459,2737.36556,2367,41.49183844,4.149183844,12.7,1587.248,56,260.61,211.6340927,2525.731468,64.76234532,15.00983,8.4,87.5
37091,"19,776",657.3624595,17002,4899.878641,27548.54369,3.888184013,60.53346305,3539.644013,700,11.86520166,1.186520166,24.1,259.895,26,170.02,308.4546926,3231.18932,131.4724919,27.54854369,9.9,77.5
37093,"34,679",421.0040659,17630,5334.640561,26018.62799,20.22243871,33.47248254,5072.233917,1759,20.61999698,2.061999698,21.2,471.945,21,176.3,193.200496,4879.033421,60.55537934,26.01862799,8.9,84
37097,"120,909",407.7446675,25610,7995.269169,15726.70355,7.285269414,11.94641144,4960.75561,5998,41.4248483,4.14248483,12.4,3083.744,109,256.1,454.0604918,4506.695118,90.15044372,15.72670355,12.4,85.9
37099,"31,578",155.1713218,20228,5807.840902,22895.68687,14.9857267,1.849966477,3749.445817,1184,26.21600564,2.621600564,20.4,422.725,11,202.28,522.5156755,3226.930141,34.83437836,22.89568687,9,85
37101,"128,402",318.530864,22437,5917.353312,18676.50037,10.41918943,15.12689634,3668.167163,4710,37.9545656,3.79545656,15.1,2117.601,80,224.37,285.0422891,3383.124873,62.30432548,18.67650037,9.8,83.2
37103,"8,441",402.7958773,20066,5911.621846,19926.54899,4.680638723,32.3943662,248.7856889,21,19.93794685,1.993794685,16.8,115.814,10,200.66,35.5408127,213.2448762,118.4693757,19.92654899,10.9,83.8
37105,"45,193",493.4392494,21061,7428.141526,18164.31748,12.95785675,19.98582933,3885.557498,1756,28.68709707,2.868709707,15,1221.752,42,210.61,258.8896511,3626.667847,92.93474653,18.16431748,13,80.2
37107,"45,802",980.3065368,19017,6552.115628,28834.98537,6.09380003,40.54290276,4816.383564,2206,23.58762668,2.358762668,22.7,868.192,95,190.17,775.0753242,4041.30824,207.4145234,28.83498537,11.3,79
37109,"59,821",352.7189449,23560,8109.192424,17209.67553,5.04864947,5.545262889,3794.654051,2270,42.21106529,4.221106529,13.8,1165.646,50,235.6,175.5236455,3619.130406,83.58268835,17.20967553,12.7,83.6
